setup0,setup1,setup2,setup3,setup4,setup5,setup6,setup7,setup8,setup9,setup10,setup11,setup12,setup13,setup14,setup15
1.003,1.004,1.019,1.054,1.09,0.997,0.998,1.015,1.054,1.089,1.0,1.001,1.013,1.05,1.087,1.155
0.998,0.993,1.003,1.05,1.074,0.99,0.989,1.004,1.045,1.072,1.0,0.991,1.004,1.047,1.073,1.102
0.991,0.991,1.0,1.029,1.043,0.992,0.986,0.997,1.03,1.043,1.0,0.988,0.998,1.026,1.041,1.063
1.0,1.003,1.013,1.025,1.047,0.999,0.995,1.001,1.017,1.043,1.0,0.995,1.001,1.018,1.044,1.092
1.007,1.007,1.015,1.03,1.05,1.01,1.0,1.006,1.023,1.047,1.0,1.002,1.007,1.023,1.046,1.089
1.007,1.008,1.015,1.033,1.06,1.016,1.002,1.008,1.026,1.058,1.0,1.002,1.008,1.025,1.056,1.1
1.009,1.01,1.02,1.041,1.061,0.996,0.998,1.012,1.039,1.06,1.0,0.999,1.012,1.038,1.059,1.094
1.01,1.015,1.025,1.042,1.054,1.004,1.003,1.019,1.038,1.054,1.0,1.005,1.021,1.039,1.053,1.082
1.008,1.011,1.022,1.036,1.044,0.999,1.005,1.017,1.032,1.045,1.0,1.008,1.018,1.032,1.044,1.07
1.004,1.005,1.015,1.038,1.058,1.0,0.997,1.009,1.034,1.057,1.0,0.999,1.009,1.033,1.056,1.094
