setup0,setup1,setup2,setup3,setup4,setup5,setup6,setup7,setup8,setup9,setup10,setup11,setup12,setup13,setup14,setup15,setup16,setup17,setup18
1.001,1.003,1.002,0.999,0.998,1.0,1.029,1.007,0.993,0.993,0.992,0.993,1.037,1.025,1.0,0.999,1.0,0.996,1.152
1.001,0.999,0.997,0.998,0.998,0.997,1.021,1.005,0.991,0.992,0.992,0.991,1.031,1.025,0.999,0.997,1.0,0.999,1.104
0.997,0.995,0.994,0.995,0.994,0.992,1.028,1.005,0.989,0.991,0.988,0.988,1.037,1.034,1.003,1.001,1.0,1.001,1.064
1.002,1.003,0.999,1.001,1.004,1.001,1.017,1.008,1.004,0.997,0.999,0.997,1.02,1.018,1.003,0.999,1.0,0.999,1.092
1.009,1.005,1.006,1.008,1.007,1.007,1.016,1.016,1.007,1.01,1.009,1.008,1.025,1.019,1.0,0.999,1.0,0.999,1.089
1.008,1.016,1.006,1.01,1.008,1.01,1.021,1.014,1.008,1.015,1.01,1.015,1.034,1.025,1.001,1.0,1.0,1.001,1.1
1.012,1.007,1.01,1.008,1.012,1.011,1.008,1.0,0.995,0.996,0.996,0.995,1.027,1.021,1.003,1.0,1.0,1.0,1.094
1.013,1.013,1.013,1.009,1.01,1.011,1.021,1.004,1.002,1.002,1.002,1.004,1.026,1.021,1.001,1.0,1.0,1.0,1.082
1.007,1.009,1.006,1.008,1.009,1.007,1.014,1.001,0.995,0.996,0.997,0.997,1.034,1.028,1.0,0.998,1.0,0.998,1.068
1.006,1.005,1.004,1.004,1.004,1.004,1.02,1.007,0.998,0.999,0.998,0.999,1.03,1.024,1.001,0.999,1.0,0.999,1.093
