setup0,setup1,setup2,setup3,setup4,setup5,setup6,setup7
1.001,1.0,1.001,1.005,1.018,1.031,1.029,1.16
1.003,1.0,1.0,1.006,1.021,1.036,1.04,1.116
1.001,1.0,1.002,1.006,1.019,1.033,1.032,1.077
1.005,1.001,1.0,1.0,1.01,1.015,1.03,1.097
1.01,1.001,1.0,1.003,1.01,1.019,1.027,1.09
1.013,1.001,1.0,1.002,1.007,1.025,1.023,1.098
1.0,1.002,1.005,1.012,1.022,1.035,1.036,1.099
1.0,1.001,1.001,1.004,1.015,1.021,1.027,1.077
1.0,1.002,1.006,1.01,1.017,1.032,1.026,1.071
1.004,1.001,1.002,1.005,1.016,1.027,1.03,1.098
