setup0,setup1,setup2,setup3,setup4,setup5,setup6,setup7,setup8,setup9,setup10,setup11,setup12,setup13,setup14,setup15,setup16,setup17,setup18
1.011,1.0,0.998,0.997,1.0,1.001,1.004,0.996,0.992,0.99,0.99,0.992,1.004,0.996,0.995,0.994,0.997,1.0,1.152
1.018,1.002,0.998,0.999,0.999,1.003,1.009,0.997,0.992,0.991,0.99,0.994,1.005,0.997,0.996,0.996,0.997,1.0,1.106
1.006,0.996,0.994,0.991,0.993,0.997,0.998,0.99,0.987,0.985,0.984,0.993,0.998,0.991,0.991,0.992,1.0,1.0,1.063
1.011,1.005,1.003,0.999,0.999,1.0,1.006,0.998,0.997,0.996,0.997,1.002,1.0,0.996,0.995,0.993,0.993,1.0,1.093
1.018,1.01,1.009,1.005,1.005,1.004,1.009,1.002,1.001,0.999,0.999,1.01,1.009,1.0,1.001,0.998,0.998,1.0,1.089
1.01,1.009,1.006,1.005,1.005,1.007,1.008,1.002,0.999,0.999,1.0,1.016,1.007,1.0,0.999,0.998,0.998,1.0,1.099
1.015,1.009,1.008,1.005,1.007,1.011,1.006,1.002,0.997,0.996,0.995,0.994,1.004,0.995,0.992,0.991,0.993,1.0,1.094
1.022,1.011,1.011,1.009,1.011,1.013,1.015,1.008,1.006,1.005,1.004,1.002,1.011,1.003,1.001,0.997,0.998,1.0,1.082
1.018,1.008,1.006,1.007,1.004,1.008,1.017,1.004,1.004,0.999,1.0,0.999,1.007,1.001,0.999,0.998,0.998,1.0,1.07
1.014,1.006,1.004,1.002,1.003,1.005,1.008,1.0,0.997,0.996,0.995,1.0,1.005,0.998,0.996,0.995,0.997,1.0,1.094
