setup0,setup1,setup2,setup3,setup4,setup5,setup6,setup7,setup8,setup9
1.001,0.985,0.983,0.995,0.984,0.982,1.0,0.984,0.983,1.155
1.001,0.98,0.978,0.994,0.978,0.977,1.0,0.98,0.977,1.108
0.993,0.974,0.972,0.986,0.972,0.971,1.0,0.974,0.971,1.063
1.002,0.992,0.992,0.999,0.99,0.989,1.0,0.991,0.99,1.094
1.006,0.996,0.994,1.008,0.993,0.992,1.0,0.995,0.994,1.09
1.01,0.997,0.997,1.009,0.996,0.995,1.0,0.997,0.996,1.101
1.012,0.98,0.975,0.998,0.975,0.973,1.0,0.978,0.974,1.097
1.012,0.983,0.979,1.001,0.978,0.976,1.0,0.983,0.978,1.082
1.007,0.98,0.977,0.996,0.976,0.974,1.0,0.98,0.976,1.069
1.005,0.985,0.983,0.999,0.982,0.981,1.0,0.985,0.982,1.095
